,fold,phase,epoch,loss,accuracy
413,4,val,26,3.21313758545521,22.44
414,4,train,27,0.5345295633351992,79.25
415,4,val,27,3.103896242785828,27.85
416,4,train,28,0.5096494408235663,66.31
417,4,val,28,2.542778026059036,29.16
418,4,train,29,0.4774437016910977,80.24
419,4,val,29,2.9805898110903994,22.44
420,4,train,30,0.46450621143929544,84.07
421,4,val,30,3.6463043433833495,22.12
422,4,train,31,0.4244699014656285,80.73
423,4,val,31,3.4491450355939217,26.87
424,4,train,32,0.4136039509028985,82.87
425,4,val,32,3.7901902398513876,20.31
426,4,train,33,0.4007205233352367,81.76
427,4,val,33,3.3362820547912757,26.54
428,4,train,34,0.3737745720686184,87.38
429,4,val,34,3.6207743527377465,22.77
430,4,train,35,0.3466762549505032,80.11
431,4,val,35,3.4856844803425653,27.52
432,4,train,36,0.3375289483715302,87.36
433,4,val,36,3.46711905464452,25.23
434,4,train,37,0.3273965601695987,89.11
435,4,val,37,3.6990416571107834,30.31
436,4,train,38,0.3074983111065295,87.72
437,4,val,38,3.6544499927790377,26.05
438,4,train,39,0.29617964458607493,88.75
439,4,val,39,3.230993295215187,26.87
440,4,train,40,0.2824261337912903,90.32
441,4,val,40,3.587765804135987,24.74
442,4,train,41,0.279573591465436,87.97
443,4,val,41,3.796059466157284,30.14
444,4,train,42,0.27158198906502945,90.78
445,4,val,42,3.1382499146835965,31.62
446,4,train,43,0.2550824318652746,86.02
447,4,val,43,3.737038125542446,24.9
448,4,train,44,0.2390713800193259,92.01
449,4,val,44,3.4321581427963617,35.39
